Latitude,Longitude,Power
33.21401462,-97.15489463,-60.87038748
33.2140056,-97.15489463,-60.89305379
33.21399659,-97.15489463,-60.91565074
33.21398758,-97.15489463,-60.93770837
33.21397856,-97.15489463,-60.96020394
33.21396955,-97.15489463,-60.98207233
33.21396053,-97.15489463,-61.00446783
33.21395152,-97.15489463,-61.86810795
33.2139425,-97.15489463,-61.89278577
33.21393349,-97.15489463,-61.07068684
33.21392447,-97.15489463,-61.94193207
33.21391546,-97.15489463,-61.96640134
33.21390645,-97.15489463,-61.99080186
33.21389743,-97.15489463,-62.01513402
33.21388842,-97.15489463,-62.03939821
33.2138794,-97.15489463,-62.06359482
33.21387039,-97.15489463,-62.0877242
33.21386137,-97.15489463,-62.11178673
33.21385236,-97.15489463,-61.26845558
33.21384334,-97.15489463,-61.29015591
33.21383433,-97.15489463,-62.18357695
33.21382532,-97.15489463,-62.20737576
33.2138163,-97.15489463,-62.23110955
33.21380729,-97.15489463,-57.23382461
33.21379827,-97.15489463,-57.22625944
33.21378926,-97.15489463,-57.21843731
33.21378024,-97.15489463,-57.21035812
33.21377123,-97.15489463,-57.20202177
33.21376222,-97.15489463,-57.19342814
33.2137532,-97.15489463,-57.18457711
33.21374419,-97.15489463,-57.17546855
33.21373517,-97.15489463,-57.16610234
33.21372616,-97.15489463,-57.15647831
33.21371714,-97.15489463,-57.14659633
33.21370813,-97.15489463,-57.13645623
33.21369911,-97.15489463,-53.278972
33.2136901,-97.15489463,-53.28906276
33.21368109,-97.15489463,-53.29893505
33.21367207,-97.15489463,-53.30858777
33.21366306,-97.15489463,-53.34277481
33.21365404,-97.15489463,-53.32740172
33.21364503,-97.15489463,-53.33876874
33.21363601,-97.15489463,-53.34773829
33.213627,-97.15489463,-53.35882841
33.21361799,-97.15489463,-55.03625417
33.21360897,-97.15489463,-52.41086114
33.21359996,-97.15489463,-53.38419637
33.21359094,-97.15489463,-53.39220836
33.21358193,-97.15489463,-52.44377528
33.21357291,-97.15489463,-53.38652063
33.2135639,-97.15489463,-54.92609346
33.21355488,-97.15489463,-53.68601569
33.21354587,-97.15489463,-55.00996117
33.21353686,-97.15489463,-53.73413414
33.21352784,-97.15489463,-55.02589613
33.21351883,-97.15489463,-55.05356455
33.21350981,-97.15489463,-53.81158453
33.2135008,-97.15489463,-55.13719218
33.21349178,-97.15489463,-53.85968958
33.21348277,-97.15489463,-53.88396029
33.21347375,-97.15489463,-55.18123854
33.21346474,-97.15489463,-53.93736238
33.21345573,-97.15489463,-53.96161621
33.21344671,-97.15489463,-55.28869397
33.2134377,-97.15489463,-54.01252554
33.21342868,-97.15489463,-55.30910621
33.21341967,-97.15489463,-55.33314519
33.21341065,-97.15489463,-54.03213934
33.21340164,-97.15489463,-55.34138358
33.21339263,-97.15489463,-55.56472312
33.21338361,-97.15489463,-57.48012352
33.2133746,-97.15489463,-62.88276261
33.21336558,-97.15489463,-62.90310414
33.21335657,-97.15489463,-62.9233972
33.21334755,-97.15489463,-62.94364203
33.21333854,-97.15489463,-62.96383886
33.21332952,-97.15489463,-62.98398791
33.21332051,-97.15489463,-63.00408942
33.2133115,-97.15489463,-63.02414361
33.21330248,-97.15489463,-57.85099893
33.21329347,-97.15489463,-57.87424231
33.21328445,-97.15489463,-57.89742267
33.21327544,-97.15489463,-55.94663127
33.21326642,-97.15489463,-56.80565642
33.21325741,-97.15489463,-56.8298051
33.2132484,-97.15489463,-56.86041254
33.21323938,-97.15489463,-56.88450319
33.21323037,-97.15489463,-59.45259294
33.21322135,-97.15489463,-55.31694638
33.21321234,-97.15489463,-55.34099434
33.21320332,-97.15489463,-56.98751162
33.21319431,-97.15489463,-57.011471
33.21293289,-97.15489463,-57.73945555
33.21292388,-97.15489463,-57.76261508
33.21291486,-97.15489463,-57.78571301
33.21290585,-97.15489463,-57.81799394
33.2151955,-97.15488385,-20.83116742
33.21518649,-97.15488385,-20.8911538
33.21517747,-97.15488385,-21.04958433
33.21516846,-97.15488385,-21.29429781
33.21515945,-97.15488385,-21.6132791
33.21515043,-97.15488385,-21.98939045
33.21514142,-97.15488385,-22.4067338
33.2151324,-97.15488385,-22.85288138
33.21512339,-97.15488385,-23.31104078
33.21511437,-97.15488385,-23.78066839
33.21510536,-97.15488385,-24.2498175
33.21509635,-97.15488385,-24.71570163
33.21508733,-97.15488385,-25.17775215
33.21507832,-97.15488385,-25.62911883
33.2150693,-97.15488385,-26.06971892
33.21506029,-97.15488385,-26.49795038
33.21505127,-97.15488385,-26.91620389
33.21504226,-97.15488385,-27.32000129
33.21503324,-97.15488385,-27.70764056
33.21502423,-97.15488385,-28.09347358
33.21501522,-97.15488385,-28.46854678
33.2150062,-97.15488385,-28.82312555
33.21499719,-97.15488385,-29.16716814
33.21498817,-97.15488385,-29.50021976
33.21497916,-97.15488385,-29.82070259
33.21497014,-97.15488385,-30.12377121
33.21496113,-97.15488385,-30.35617475
33.21495211,-97.15488385,-30.61371313
33.2149431,-97.15488385,-30.89819995
33.21493409,-97.15488385,-31.12113618
33.21492507,-97.15488385,-31.35616381
33.21491606,-97.15488385,-31.61193409
33.21490704,-97.15488385,-31.83167058
33.21489803,-97.15488385,-32.04340536
33.21488901,-97.15488385,-32.24965818
33.21488,-97.15488385,-32.4365359
33.21487099,-97.15488385,-32.62725907
33.21486197,-97.15488385,-32.80936032
33.21485296,-97.15488385,-32.98611751
33.21484394,-97.15488385,-32.93967142
33.21483493,-97.15488385,-33.12754505
33.21482591,-97.15488385,-33.16374476
33.2148169,-97.15488385,-33.37462297
33.21480788,-97.15488385,-33.51501621
33.21479887,-97.15488385,-33.575104
33.21478986,-97.15488385,-33.81559646
33.21478084,-97.15488385,-33.94840314
33.21477183,-97.15488385,-34.07423503
33.21476281,-97.15488385,-34.22856327
33.2147538,-97.15488385,-34.30473659
33.21474478,-97.15488385,-34.4838253
33.21473577,-97.15488385,-34.60209632
33.21472676,-97.15488385,-34.74112108
33.21471774,-97.15488385,-34.79470233
33.21470873,-97.15488385,-34.96877976
33.21469971,-97.15488385,-34.98376017
33.2146907,-97.15488385,-35.18686115
