GridX,GridY,Power
11,23,-135.73369251171718
11,24,-188.646374892
11,25,-128.28394269131314
11,26,-68.68081089070706
11,27,-75.29168806477273
12,0,-65.10404511718183
12,1,-66.36988145616162
12,2,-87.26627476797981
12,3,-139.94843644081817
12,4,-82.72452060666667
12,5,-62.6501867308046
12,6,-63.585344462
12,7,-60.470212319999995
12,8,-200.0
12,9,-200.0
12,10,-200.0
12,11,-200.0
12,13,-200.0
12,14,-200.0
12,15,-200.0
12,16,-200.0
12,17,-200.0
12,18,-200.0
12,19,-200.0
12,20,-173.33080126767678
12,21,-200.0
12,22,-158.74150923222223
12,23,-167.23999404161617
12,24,-153.98308385845456
12,25,-70.48228350878787
12,26,-66.34570985616162
12,27,-70.12579199363637
13,0,-63.8851480173
13,1,-121.59045530200001
13,2,-198.55254301266666
13,3,-200.0
13,4,-190.0614455728889
13,5,-79.05258678457447
13,6,-58.748058988888886
13,7,-58.91290170318182
13,8,-200.0
13,9,-200.0
13,10,-200.0
13,11,-200.0
13,13,-200.0
13,14,-200.0
13,15,-200.0
13,16,-200.0
13,17,-200.0
13,18,-200.0
13,19,-200.0
13,20,-178.19168649696968
13,21,-169.42610468381818
13,22,-124.56609810040403
13,23,-126.01167035767678
13,24,-66.21930943554545
13,25,-67.25640916161616
13,26,-75.63220743616162
13,27,-69.31910761454546
14,0,-56.408782925
14,1,-40.8387895
14,2,-39.226180885000005
14,3,-38.49068070466667
14,4,-38.651180096666664
14,5,-49.814821013409095
14,6,-52.34966923878788
14,7,-52.43908312000001
14,8,-200.0
14,10,-95.47743741272728
14,11,-157.28652031098764
14,12,-118.06647796833333
14,13,-200.0
14,14,-200.0
14,15,-200.0
14,16,-200.0
14,17,-190.03742810472727
14,18,-173.69639385848484
14,19,-176.27158187676767
14,20,-182.29506016010103
14,21,-119.3385003469091
14,22,-78.07285063565656
14,23,-82.28597839929293
14,24,-84.538325469
14,25,-72.61006642616161
14,26,-71.57736701050504
14,27,-75.13404255590909
15,0,-58.61661691727272
15,1,-38.7375742969697
15,2,-38.27874039434344
15,3,-38.197829585545456
15,4,-37.91766927654545
15,5,-93.40422788657142
15,6,-55.64849698787879
15,7,-41.64138805590909
15,8,-174.3421344678788
15,10,-88.80225246166667
15,11,-91.8791430297647
15,12,-177.7249832813889
15,13,-137.77561969614035
15,14,-136.65625599241937
15,15,-169.64949375155555
15,16,-176.00813215894735
15,17,-192.53317251845453
15,18,-197.58103029959594
15,19,-165.99104290545455
15,20,-134.72020051222222
15,21,-66.57936377427272
15,22,-76.42104897848485
15,23,-89.93430926131312
15,24,-102.78155779018181
15,25,-82.14475574969697
15,26,-102.11243595646464
15,27,-121.38948529599999
16,0,-37.56875514507692
16,1,-37.37874430979798
16,2,-37.088900137373734
16,3,-37.56544731145455
16,4,-37.55274072033898
16,5,-50.662092692820515
16,6,-40.70853979454546
16,7,-39.380473869285716
16,8,-42.623151443684215
16,9,-40.25995494277778
16,10,-58.53432096127659
16,11,-54.35979773274725
16,12,-42.24133261952381
16,13,-43.16584852773334
16,14,-47.139314939074076
16,15,-59.22474995638889
16,16,-126.5692172446
16,17,-156.93478710527273
16,18,-149.7812418720202
16,19,-81.36193477323233
16,20,-64.66036445929292
16,21,-68.16866177663636
16,22,-76.6770037038384
16,23,-67.34169186909091
16,24,-103.47403081345453
16,25,-83.24223047383838
16,26,-72.08532576949496
16,27,-79.78236471153846
17,0,-35.62499170272727
17,1,-36.056989895656564
17,2,-36.33717666868687
17,3,-36.484817299090906
17,4,-37.11179071050505
17,5,-37.666614085151515
17,6,-38.448119076666664
17,7,-39.278733780909086
17,8,-39.3466531449495
17,9,-40.14345183808081
17,10,-40.77866766427273
17,11,-41.56833478292929
17,12,-46.114988495252526
17,13,-69.00019164040404
17,14,-65.71748742127272
17,15,-52.80808723868687
17,16,-57.50690370343435
17,17,-69.05397162854545
17,18,-62.94576096191919
17,19,-68.1979540388889
17,20,-79.32488691222223
17,21,-83.41892162527273
17,22,-175.98300750080807
17,23,-200.0
17,24,-133.43721871581818
17,25,-67.7414864640404
17,26,-97.18977692616161
17,27,-157.22304544272728
18,0,-34.35614631918182
18,1,-34.80568608767677
18,2,-35.322402805656566
18,3,-35.853313187272725
18,4,-36.180789532929296
18,5,-37.12384791656566
18,6,-37.66983906080808
18,7,-38.59948195745454
18,8,-39.65887665979798
18,9,-41.6453522669697
18,10,-46.047782805272725
18,11,-51.39825424262626
18,12,-50.98417107959596
18,13,-61.973650122121214
18,14,-134.1669279049091
18,15,-124.41485309424243
18,16,-53.19905915969697
18,17,-53.79788379045455
18,18,-57.76051736464646
18,19,-72.08038363828283
18,20,-164.11638727707071
18,21,-172.67739036318181
18,22,-134.36300817626264
18,23,-98.71651449868686
18,24,-78.4688960060909
18,25,-121.40358962353537
18,26,-154.03290752353536
18,27,-167.58985579545455
19,0,-32.93271049281818
19,1,-33.42495034484848
19,2,-33.98881629858586
19,3,-34.46112425863636
19,4,-35.351773882323236
19,5,-35.92232384151515
19,6,-37.153569594141416
19,7,-40.714885600636364
19,8,-55.59027871232323
19,9,-79.75681385050505
19,10,-57.43159927290909
19,11,-51.62453556565657
19,12,-57.81618817232323
19,13,-53.52286564535354
19,14,-51.91115346254546
19,15,-56.83620882959596
19,16,-64.94538192424243
19,17,-68.06176805063636
19,18,-55.152945426060604
19,19,-70.48873064373737
19,20,-84.6932177059596
19,21,-86.27673201254545
19,22,-96.10667227808082
19,23,-176.64988036555553
19,24,-126.90887966918183
19,25,-106.97063415535354
19,26,-92.9746123970707
19,27,-116.23475058909092
20,0,-30.719946812545455
20,1,-31.487830133333333
20,2,-32.515911846161615
20,3,-33.49526505472728
20,4,-34.558086213636365
20,5,-35.4354106
20,6,-36.221975907391304
20,7,-52.98243025000001
20,8,-62.726619674137936
20,9,-115.92074984492754
20,10,-63.549106257999995
20,11,-119.9767589919192
20,12,-53.59658764919192
20,13,-51.591923896506025
20,14,-51.71835473433334
20,15,-68.37732479576272
20,16,-74.24319658388889
20,17,-151.3710067645
20,18,-135.66452163361112
20,19,-60.58944554944444
20,20,-56.414201473333335
20,21,-171.20834053162162
20,22,-95.4576236829293
20,23,-102.26461931919191
20,24,-101.43456543281819
20,25,-111.99315148323232
20,26,-186.06115358161617
20,27,-147.30091666181818
21,0,-26.99898148025
21,1,-28.803897432962962
21,2,-30.760519935740742
21,3,-32.45481751125
21,4,-33.9345619375
21,5,-35.04347627138889
21,6,-36.27918123514286
21,7,-37.091555198018014
21,8,-37.45623306595745
21,9,-38.75167924
21,10,-39.22659390933333
21,11,-48.54584314287037
21,12,-45.820953635185184
21,13,-43.886587180300005
21,14,-42.6288842125
21,15,-55.97883837784091
21,16,-70.61177812125
21,17,-63.238921121333334
21,18,-64.05181411506173
21,19,-83.87132588752381
21,20,-64.38490992506172
21,21,-77.6912756938889
21,22,-66.83297591731481
21,23,-71.06836360574074
21,24,-61.52853950483333
21,25,-61.315042777037036
21,26,-74.37409216907407
21,27,-66.357964410625
22,0,-22.8916690391
22,1,-26.439716946999997
22,2,-29.534947735222225
22,3,-31.770419864
22,4,-33.55006025122222
22,5,-35.08453997311111
22,6,-36.14268478877778
